nor;adv. và cũng không
smoking;n. thói quen, sự hút thuốc
specifically;adv. một cách cụ thể và chính xác
speed;n. tốc độ
burnt;adj. bị bỏng, bị cháy
challenge;n. thử thách
committee;n. ủy ban, hội đồng
convince;v. Thuyết phục
currently;adv. hiện tại, lúc này
decline;n. sự suy giảm
drag;v. kéo lê
everyone;pron. mọi người
fan;n. người hâm mộ
front;adj. phía trước
hundredth;n. một phần trăm
lean;v. ngả, nghiêng
length;n. chiều dài
lung;n. lá phổi
message;n. thông báo, lời nhắn
nervous;adj. lo lắng, hồi hộp
old-fashioned;adj. lỗi thời
react;v. phản ứng
reason;n. lý do
ride;v. đi (xe), cưỡi (ngựa,…)
riding;n. môn, hoạt động cưỡi ngựa
thick;adj. dày
to;infinitive marker. để mà
transform;v. thay đổi, biến đổi
winter;n. mùa đông
with;prep. với
accident;n. tai nạn
actual;adj. thực sự
begin;v. bắt đầu
bus;n. xe buýt
decade;n. thập kỷ, thời kỳ mười năm
fish;n. cá
harm;n. sự tổn hại
high;adj. cao
intention;n. ý định, mục tiêu
maximum;n. mức tối đa
meeting;n. buổi họp
milk;n. sữa
multiply;v. nhân, nhân lên
oppose;v. chống đối, phản đối
oven;n. lò (hấp, nướng đồ ăn)
pleased;adj. hài lòng, thoả mãn
protest;v. phản đối
punish;v. phạt, trừng phạt
situation;n. tình hình, vị thế
source;n. nguồn, nguồn gốc
steep;adj. nhanh (tăng, giảm)
strip;n. mảnh (vải, giấy...), dải (đất,...)
there;adv. ở đó
treatment;n. sự điều trị
tune;n. điệu, giai điệu
underwater;adj. dưới nước
appreciate;v. đánh giá cao, cảm kích
class;n. lớp học
confine;v. hạn chế, giới hạn
courage;n. lòng dũng cảm, can đảm
crime;n. tội ác, tội phạm
criticism;n. sự phê bình, chỉ trích
cup;n. tách
each;prop. mỗi
into;prep. vào trong
jacket;n. áo khoác (ngắn, nhẹ)
manner;n. tác phong, phong cách, cách cư xử
number;n. số
pace;n. nhịp độ, tốc độ
precise;adj. chính xác
preference;n. sự ưu tiên
preparation;n. ‹sự› chuẩn bị, sửa soạn
shirt;n. áo sơ mi
snake;n. con rắn
somewhere;adv. ở, đến một nơi nào đó
television;n. truyền hình, TV, máy thu hình
together;adv. cùng nhau
town;n. phố, thị trấn
until;prep. cho tới
wait;v. đợi, đợi chờ
wrongly;adv. một cách bất công, sai trái, không đúng
affection;n. tình yêu thương
broadcast;n. chương trình phát sóng
compare;v. so sánh
container;n. thùng chứa
decide;v. quyết định
element;n. yếu tố
eleven;cardinal no. số mười một
figure;n. con số
find;v. tìm kiếm
frozen;adj. được bảo quản ở nhiệt độ thấp, đông lạnh
guess;v. phỏng đoán
headache;n. đau đầu
hearing;n. thính giác
heart;n. tim
hello;n. xin chào! (dùng khi gặp ai, câu mở đầu khi nói điện thoại...)
impress;v. gây ấn tượng, để lại ấn tượng
knock;v. gõ (cửa)
lady;n. cô gái, quý bà (đặc biệt người lớn tuổi, cách nói lịch sự)
little;adv. nhỏ, ít
majority;n. phần lớn, đa số
mind;v. phiền, bực mình, lo lắng
neighbour;n. hàng xóm
office;n. văn phòng
often;adv. thường xuyên, hay
pleasure;n. điều thú vị, niềm vui thích
pointed;adj. (có đầu) nhọn
range;n. phạm vi
rumour;n. lời đồn, tin đồn
accurate;adj. chính xác
appoint;v. chỉ định, bổ nhiệm
before;adv. trước
contrast;v. đối chiếu, làm tương phản
credit;n. tín dụng
curious;adj. tò mò, thích tìm&nbsp, hiểu
dangerous;adj. nguy hiểm
depressing;adj. gây chán nản, thất vọng
gram;n. 1 gam
he;pron. anh ấy, chú ấy, bác ấy, cậu ấy,...(dùng cho nam giới)
itself;prop. chính nó
journey;n. chuyến đi
legal;adj. (thuộc về) pháp luật, pháp lí
lip;n. môi
located;adj. ở vị trí
nothing;prop. không cái gì
nuclear;adj. thuộc hạt nhân
plenty;prop. nhiều
prince;n. hoàng tử
sense;n. giác quan, tri giác, cảm giác
stroke;v. vuốt ve
tell;v. bảo, nói cho biết
temporary;adj. tạm thời, nhất thời, lâm thời
threat;n. lời đe dọa
tropical;adj. có tính chất nhiệt đới, thuộc vùng nhiệt đới
trouble;n. điều lo lắng, điều rắc rối, điều phiền muộn
usually;adv. thường thường, thường xuyên
would;modal verb. (quá khứ của "will", dùng trong câu tường thuật)
absence;n. sự, thời gian vắng mặt
anxious;adj. lo lắng, băn khoăn
arrive;v. đến
ban;n. luật cấm
beside;prep. bên cạnh
bill;n. hóa đơn
calculation;n. ‹sự/kết quả› tính, tính toán, ‹sự› dự tính, trù liệu
chase;n. sự đuổi theo, cuộc rượt đuổi
citizen;n. công dân
drink;n. thức uống
due;adj. bởi vì
if;conj. nếu
illness;n. sự đau ốm, bệnh (thể chất, trí tuệ)
immoral;adj. trái đạo đức, xấu, không trung thực
interested;adj. Có quan tâm, thích thú
maintain;v. duy trì
money;n. tiền
nice;adj. vui, vui vẻ
ours;prop. của chúng tôi
palace;n. cung điện
peak;n. đỉnh cao, cao điểm
petrol;n. xăng dầu
powerful;adj. mạnh mẽ
amuse;v. khiến ai đó cười, thích thú
analyse;v. phân tích
annoy;v. làm bực mình, quấy rầy
attract;v. hấp dẫn, lôi cuốn, thu hút
author;n. tác giả
avoid;v. tránh, tránh khỏi, hủy bỏ, bác bỏ
blade;n. lưỡi (dao)
boyfriend;n. bạn trai
congratulation;n. sự chúc mừng
divorced;adj. li dị
educated;adj. được giáo dục theo kiểu nào, đã học ở trường nào
eighteen;cardinal no. số mười tám
enquiry;n. sự hỏi thêm thông tin, sự vấn tin
entry;n. hành động đi vào (nơi nào đó)
flight;n. chuyến bay
here;adv. ở đây
importance;n. tầm quan trọng
know;v. biết
major;adj. rất lớn, quan trọng
might;modal verb. có thể
nine;cardinal no. số chín
phase;n. giai đoạn
politician;n. chính trị gia
position;n. vị trí
practise;v. luyện tập
preserve;v. gìn giữ, bảo tồn
prize;n. giải thưởng
recognize;v. nhận ra
accompany;v. đi cùng, hộ tống
aloud;adv. to (giọng)
among;prep. giữa, trong số (giữa từ ba người, 3 vật trở lên)
apparently;adv. hình như
brick;n. gạch
button;n. nút (áo quần)
celebrate;v. kỉ niệm
copy;v. sao chép
develop;v. phát triển
else;adv. thứ gì khác
fair;adj. trắng (da), vàng nhạt (tóc)
impressed;adj. cảm thấy ấn tượng
item;n. khoản, món, mục, mặt hàng
knitted;adj. được đan bằng len, sợi
lazy;adj. lười biếng
learn;v. học, nghiên cứu
master;n. chủ nhân
profession;n. nghề nghiệp
protect;v. bảo vệ, bảo hộ, che chở
sample;n. mẫu, mẫu vật
since;adv. kể từ
slide;n. một trang trình chiếu trong bài trình chiếu trên máy tính
smooth;adj. hòa nhã, lễ độ
sweat;n. mồ hôi
thief;n. tên trộm
annoyed;adj. khó chịu
brown;adj. nâu
concerning;prep. về, liên quan điều gì
confined;adj. (không gian) bị bó buộc (nghĩa bóng)
creature;n. sinh vật, tạo vật
daughter;n. con gái
former;adj. trước đây
gas;n. hơi, khí đốt thiên nhiên
heal;v. lành, chữa lành
highly;adv. rất
hip;n. hông
indicate;v. chỉ ra, cho biết điều gì
mirror;n. gương
nature;n. thiên nhiên
neither;adv. thể hiện sự đồng tình với một câu nói phủ định
overall;adj. toàn bộ, toàn thể, tất cả, nói chung
passage;n. đoạn văn
pot;n. cái nồi
problem;n. vấn đề
quantity;n. lượng, số lượng
research;v. sự nghiên cứu
response;n. sự trả lời, hồi đáp (lời, văn bản)
river;n. sông
selection;n. sự lựa chọn
several;determiner. vài
spoil;v. làm hỏng
actor;n. diễn viên nam
amazed;adj. rất ngạc nhiên
anger;n. sự tức giận
artist;n. nghệ sĩ
artistic;adj. (thuộc về) nghệ thuật
back;adv. quay lại
basically;adv. về cơ bản
cancel;v. hủy bỏ
cold;n. sự cảm lạnh
construct;v. xây dựng
drug;n. ma túy
elect;v. lựa chọn, bầu chọn
enter;v. đến, đi vào
estimate;v. ước lượng
flesh;n. thịt, xác thịt
inevitable;adj. không thể tránh được, chắc chắn xảy ra
introduction;n. sự đưa vào sử dụng, đưa vào nơi nào đó
invest;v. đầu tư
lid;n. nắp
mayor;n. (ở Anh, Wales và Bắc Ireland) thị trưởng
nerve;n. dây thần kinh
opposed;adj. phản đối
period;n. tiết học
possibly;adv. có thể
reduction;n. sự giảm, thu nhỏ
reveal;v. tiết lộ
specific;adj. cụ thể, rõ ràng, rành mạch
acknowledge;v. thừa nhận, chấp nhận sự thật của cái gì
aggressive;adj. hay gây sự, hung hăng
analysis;n. sự phân tích, kết quả phân tích
appeal;n. sức hấp dẫn, lôi cuốn
backwards;adv. về phía sau
burst;v. (khiến cho cái gì) nổ, vỡ tung
certain;adj. chắc chắn
combination;n. sự kết hợp
defence;n. sự bảo vệ
extraordinary;adj. lạ thường, khác thường
interest;n. sở thích
introduce;v. giới thiệu
its;poss. adj. của nó (dùng cho vật)...
minority;n. thiểu số
opening;n. khe hở, lỗ hổng
reaction;n. sự phản ứng
require;v. đòi hỏi, yêu cầu
rock;n. đá, hòn đá, tảng đá
separated;adj. li thân
shadow;n. bóng, bóng tối, bóng mát
sour;adj. chua
sweater;n. áo len
throughout;prep. . khắp nơi
award;v. thưởng, tặng
bake;v. nướng bằng lò
beach;n. bãi biển
because;prep. bởi vì
bent;adj. cong, gập
birthday;n. sinh nhật
classroom;n. phòng học
executive;n. người điều hành (công ty, tổ chức,...)
fortune;n. may mắn, vận may
happily;adv. một cách vui vẻ, hạnh phúc
honour;n. danh tiếng, danh dự
involvement;n. sự tham gia
it;pron. nó
latest;n. thứ, tin tức gần đây nhất hoặc mới nhất
loss;n. sự mất mát
pain;n. sự đau đớn
potential;adj. tiềm năng, tiềm tàng
prayer;n. lời cầu nguyện
prisoner;n. tù nhân
quit;v. nghỉ, bỏ (học, làm việc...)
remaining;adj. còn lại
rent;v. thuê
screw;v. bắt vít, gắn chặt bằng vít
silly;adj. ngớ ngẩn, ngốc nghếch
title;n. danh hiệu
addition;n. phép cộng
awfully;adv. rất, cực kì
brother;n. anh/em trai
circle;n. vòng tròn
competitive;adj. tính cạnh tranh, đua tranh
crowded;adj. đông đúc
delighted;adj. vui mừng, hài lòng, thích thú
discount;v. giảm, bớt, giảm giá, chiết khấu, khấu trừ
environmental;adj. (thuộc về) môi trường
faith;n. sự tin tưởng, lòng tin
flood;n. trận lụt
general;n. vị tướng, nhà chiến lược xuất sắc
mad;adj. điên rồ
myself;prop. chính tôi
occasionally;adv. thỉnh thoảng, đôi khi
perfect;adj. hoàn hảo, đầy đủ
piece;n. miếng, mảnh, mẫu
poisonous;adj. độc hại
predict;v. dự báo, dự đoán trước
promotion;n. lăng xê
sale;n. đợt bán hàng, giảm giá
service;n. dịch vụ
true;adj. đúng, thật
weekend;n. ngày cuối tuần
worth;adj. đáng, đáng giá, xứng đáng
amount;n. số lượng, khối lượng
be;auxiliary verb. thì, là, bị, được (đi với p.p (quá khứ phân từ) để tạo thành câu bị động)
behind;prep. ở đằng sau
brilliant;adj. hay, ấn tượng
case;n. trường hợp
company;n. công ty
consumer;n. người tiêu dùng
dancing;n. sự nhảy múa, khiêu vũ
delight;v. làm hài lòng
diagram;n. biểu đồ
dig;v. đào
dominate;v. trội hơn, chiếm ưu thế
entirely;adv. hoàn toàn (hint: e...)
exaggerated;adj. được phóng đại, cường điệu lên
float;v. nổi, trôi, lơ lửng
focus;n. lấy nét, tâm điểm
holiday;n. ngày lễ
mess;n. sự bẩn thỉu, không gọn gàng
mix;n,v. hợp vào, trộn lẫn
moving;adj. cảm động
neck;n. cổ
on;prep. ở trên (có tiếp xúc bề mặt)
one another;prop. lẫn nhau
only;adv. chỉ
particular;adj. đặc biệt, đặc thù
payment;n. sự chi trả, thanh toán
permanent;adj. lâu dài, thường trực, cố định
planet;n. hành tinh
public;adj. công cộng, công
admit;v. thừa nhận, cho vào
bye;exclam. tạm biệt (thân mật)
chew;v. nhai
complicated;adj. phức tạp, rắc rối
confusion;n. sự bối rối, sự nhầm lẫn
deeply;adv. nhiều, rất nhiều (một cách "sâu sắc")
establish;v. thành lập, thiết lập
festival;n. đại hội, lễ hội, liên hoan
grandparent;n. ông, bà
other;adj. khác
otherwise;adv. nếu không thì...
parent;n. cha, mẹ
per;prep. mỗi
presentation;n. bài trình bày
root;n. rễ cây
route;n. tuyến đường
successful;adj. thành công
supporter;n. người ủng hộ (một đảng chính trị, một ý tưởng,...)
surrounding;adj. bao quanh, vây quanh
truly;adv. thực sự (hint: t...)
uniform;n. đồng phục
united;adj. liên hợp, liên minh
unusually;adv. khác thường
vital;adj. thiết yếu, mang tính quyết định
waiter;n. phục vụ nam
accent;n. giọng (phát âm)
assistant;n. người giúp đỡ, người phụ tá
background;n. kiến thức, kinh nghiệm
blank;n. khoảng trống (trên mẫu văn bản, để điền thông tin)
coast;n. bờ biển
decay;v. thối rữa (thực phẩm), sâu, mục (răng, xương, lá...)
explosion;n. vụ nổ
father;n. bố, ba, cha,...
fork;n. nĩa
forty;no. bốn mươi
impossible;adj. không thể
inform;v. báo tin cho, cho biết, cung cấp tin tức
many;adj. nhiều
minimum;n. mức tối thiểu
mount;n. ngọn núi, đỉnh núi
noticeable;adj. dễ nhận thấy, rõ ràng
organization;n. tổ chức (kinh doanh, tình nguyện,...)
pressure;n. sức ép, áp lực
pure;adj. tinh khiết, nguyên chất, thuần túy
security;n. an ninh, sự an toàn
senator;n. thượng nghị sĩ
serve;v. múc, xới, gắp ra để ăn
sexual;adj. liên quan đến tình dục
similar;adj. tương tự
themselves;prop. chính họ
turn;v. rẽ, quẹo
Mr;abbreviation. (đứng trước họ, tên đầy đủ của một người đàn ông)
September;n. tháng Chín
almost;adv. hầu như
along;adv. tiến lên, về phía trước
